"t","rx","ry","rz","theta","phi"
"71/15",0.279597388191324,-0.9069240595646639,0.31513840781989816,1.2501938373383306,-1.2717497048483997
"19/4",0.3770690121342982,-0.8742800832380199,0.3056992389942741,1.2601235881130681,-1.1636093507036904
"143/30",0.47049927175595885,-0.8314706961380103,0.2954449185132889,1.2708751338239532,-1.0558551546018764
"287/60",0.5588300846141898,-0.7789738460662605,0.2844399566165293,1.2823741226190215,-0.9484925901490543
"24/5",0.6410649481310433,-0.7173843727060241,0.27275590828650853,1.2945399320395832,-0.8415204482226379
"289/60",0.7162695475727279,-0.6473906205151735,0.26046600583874496,1.307291489275841,-0.7349307218861632
"29/6",0.7835925042347442,-0.5697811862233567,0.24764903719087628,1.3205433773555553,-0.6287092469788601
"97/20",0.8422714869927977,-0.48543040789891,0.23438723564462566,1.3342081297124486,-0.5228368734878884
"73/15",0.8916342726548284,-0.3952840557651801,0.22076387269108783,1.3481987293568634,-0.4172894210502861
"293/60",0.9311228276286883,-0.30035913742720716,0.2068670038740375,1.3624247214280938,-0.312039140049613
"49/10",0.9602824707021231,-0.20172268558968684,0.19278466760909152,1.3767970635802707,-0.20705539384733107
"59/12",0.9787748137273935,-0.10048444422899684,0.17860627036339755,1.3912265643509347,-0.10230507593151905
"74/15",0.9863878539376555,0.00221529927184623,0.16442313046360646,1.4056231731472832,0.0022458666116035694
"99/20",0.9830207792376323,0.10522081236743755,0.15032459102205392,1.4198997403643108,0.10663223995695367
"149/30",0.968705177410115,0.20737229963591036,0.13640112230230322,1.4339686603699284,0.21088864205944077
"299/60",0.9435927849213654,0.307519724411128,0.12274160293179887,1.4477444215798856,0.3150484196016494
5,0.9079508179776022,0.40453368270577444,0.10943232335577574,1.4611444013617227,0.41914365061823566
"301/60",0.8621750219022369,0.4973232650323156,0.09655902331076549,1.4740866234158363,0.5232040013395414
"151/30",0.806765513825029,0.5848411199529444,0.08420318338787935,1.486493322023563,0.6272562920070411
"101/20",0.7423340345987031,0.6661003838116384,0.07244354725410429,1.4982892646560242,0.7313244105490085
"76/15",0.6695966000565519,0.7401872048386002,0.06135558323302959,1.509402182609568,0.8354283157034377
"61/12",0.5893544145987938,0.8062604128236891,0.051009106136235605,1.519765074373828,0.9395842630504445
"51/10",0.5025013287991209,0.8635779387441513,0.041470701359465456,1.5293137292092363,1.0438046693176177
"307/60",0.4100028810590814,0.9114946030304302,0.032801465370591865,1.5379889765276074,1.1480972281602455
"77/15",0.3128825721587226,0.9494598446345612,0.0250556813290857,1.5457380231190534,1.2524659525784612
"103/20",0.2122221653249226,0.977047287788749,0.01828323436028373,1.5525120736716098,1.3569109970588915
"31/6",0.10914162792840382,0.9939473010008109,0.012527731567689326,1.5582682675118897,1.4614282356071986
"311/60",0.0047857415030228,0.9999570314098657,0.007825033426962003,1.5629712135097706,1.5660104161871395
"26/5",-0.09968421498574759,0.9950071011721969,0.004205371633671406,1.566590942765688,1.6706475756402472
"313/60",-0.20310710251181763,0.9791547146147148,0.0016923645330871873,1.5691039614539588,1.7753268213309648
"157/30",-0.30433194967110894,0.9525655225102153,0.000301342659463244,1.5704949841308726,1.8800335189839954
"21/4",-0.4022329641999604,0.9155339449817168,0.000041202849667409946,1.5707551239452175,1.9847522059859741
"79/15",-0.49572506972522895,0.8684781500086345,0.0009142493223976977,1.569882077345136,2.0894665052989834
"317/60",-0.5837671278098342,0.8119158757085081,0.002914351403642046,1.5678819712657586,2.194160165368405
"53/10",-0.665380238092844,0.746476212113011,0.006028574799486486,1.564767715478013,2.298818285708822
"319/60",-0.7396646988754736,0.6728959337763216,0.010237823594813844,1.5605583243487584,2.403427227669553
"16/3",-0.8057943515901071,0.5919927545427541,0.015514817510379031,1.555280886789598,2.507975299344867
"107/20",-0.8630341306985161,0.5046682284593665,0.0218255060441514,1.5489690876060314,2.6124540732398835
"161/30",-0.9107600314645966,0.4119033332396489,0.02913054037157331,1.5416616648762338,2.716858164039074
"323/60",-0.948444393246535,0.31473315689396897,0.03738303616582739,1.5334045780703323,2.821185400111286
